epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.211,3.84348,2.68095,3.38381,0.00307,0.06781,0.01547,0.0064,5.39387,3.89103,4.15369,0.000659933,0.000659933,0.000659933
2,776.154,2.30026,1.51142,1.98631,0.73759,0.52908,0.60772,0.26569,2.0853,1.63553,1.91572,0.00130033,0.00130033,0.00130033
3,1168.09,2.03606,1.36261,1.75199,0.74346,0.57606,0.66327,0.31814,1.91734,1.61549,1.78765,0.00191433,0.00191433,0.00191433
4,1556.96,1.91938,1.27825,1.65794,0.72131,0.56895,0.63441,0.28538,1.91414,1.53216,1.76429,0.0018812,0.0018812,0.0018812
5,1945.65,1.81514,1.1757,1.56538,0.79333,0.62729,0.72582,0.37971,1.73015,1.15916,1.64066,0.0018416,0.0018416,0.0018416
6,2334.56,1.76953,1.13224,1.53023,0.81163,0.6762,0.7733,0.41831,1.64013,1.11097,1.57136,0.001802,0.001802,0.001802
7,2723.97,1.7192,1.07402,1.49648,0.84005,0.68048,0.78864,0.4315,1.63997,1.11416,1.56298,0.0017624,0.0017624,0.0017624
8,3111.12,1.68839,1.04949,1.46293,0.84185,0.70454,0.81199,0.46144,1.56364,1.01031,1.51101,0.0017228,0.0017228,0.0017228
9,3500.52,1.66998,1.02315,1.45512,0.83509,0.68557,0.79447,0.39999,1.77463,1.06524,1.64808,0.0016832,0.0016832,0.0016832
10,3889.55,1.67047,1.02313,1.45301,0.85315,0.70408,0.81401,0.45799,1.56621,0.97263,1.51759,0.0016436,0.0016436,0.0016436
11,4278.48,1.62066,0.9826,1.43507,0.84695,0.70284,0.81564,0.46885,1.53593,0.92766,1.5036,0.001604,0.001604,0.001604
12,4666.5,1.60445,0.97105,1.41159,0.86651,0.73305,0.83858,0.48938,1.49889,0.88103,1.46603,0.0015644,0.0015644,0.0015644
13,5056.48,1.60369,0.95009,1.39036,0.88255,0.74308,0.85118,0.4989,1.47589,0.87919,1.45046,0.0015248,0.0015248,0.0015248
14,5447.45,1.5738,0.93822,1.37655,0.8672,0.74965,0.85256,0.48976,1.48703,0.87839,1.46536,0.0014852,0.0014852,0.0014852
15,5835.13,1.57571,0.94138,1.39223,0.85785,0.74215,0.84301,0.47411,1.54084,0.90035,1.49624,0.0014456,0.0014456,0.0014456
16,6226.52,1.5698,0.91603,1.38507,0.84725,0.74317,0.84607,0.4916,1.48793,0.96761,1.45866,0.001406,0.001406,0.001406
17,6615.25,1.56473,0.92106,1.37617,0.86814,0.74692,0.85062,0.48389,1.5062,0.87341,1.46758,0.0013664,0.0013664,0.0013664
18,7005.69,1.52765,0.89518,1.3721,0.87698,0.74482,0.85563,0.50777,1.45701,0.84108,1.43962,0.0013268,0.0013268,0.0013268
19,7399.15,1.52543,0.88668,1.35749,0.88775,0.7839,0.8815,0.52496,1.4428,0.82448,1.42584,0.0012872,0.0012872,0.0012872
20,7787.98,1.52887,0.86964,1.34741,0.86143,0.76424,0.8574,0.48731,1.50396,0.92326,1.46154,0.0012476,0.0012476,0.0012476
21,8176.75,1.52595,0.87754,1.36447,0.87142,0.77881,0.87625,0.52644,1.42209,0.82273,1.4103,0.001208,0.001208,0.001208
22,8564.98,1.5151,0.85526,1.33518,0.88514,0.77708,0.88071,0.52142,1.42943,0.80832,1.41739,0.0011684,0.0011684,0.0011684
23,8953.47,1.4952,0.84806,1.33077,0.88854,0.77844,0.88196,0.52752,1.44207,0.78524,1.42668,0.0011288,0.0011288,0.0011288
24,9341.59,1.50188,0.85329,1.33653,0.88153,0.7858,0.88511,0.52712,1.43271,0.81008,1.41367,0.0010892,0.0010892,0.0010892
25,9724.83,1.49723,0.85189,1.34491,0.87625,0.77937,0.88213,0.53067,1.41078,0.78763,1.40041,0.0010496,0.0010496,0.0010496
26,10110.7,1.48446,0.82685,1.33051,0.85732,0.78268,0.87299,0.52564,1.41601,0.80785,1.40523,0.00101,0.00101,0.00101
27,10498.2,1.48639,0.8221,1.32162,0.86739,0.78344,0.87591,0.50934,1.48989,0.80612,1.44993,0.0009704,0.0009704,0.0009704
28,10887.1,1.49336,0.83457,1.33609,0.89122,0.78867,0.88922,0.53807,1.40813,0.77657,1.40036,0.0009308,0.0009308,0.0009308
29,11275.1,1.46731,0.81416,1.32488,0.90028,0.77915,0.88991,0.53949,1.39306,0.76883,1.39167,0.0008912,0.0008912,0.0008912
30,11662.9,1.45655,0.8089,1.32339,0.88442,0.80158,0.89709,0.54565,1.38954,0.7624,1.39061,0.0008516,0.0008516,0.0008516
31,12052.2,1.45329,0.80162,1.29411,0.88022,0.81077,0.89879,0.5468,1.38472,0.77312,1.38642,0.000812,0.000812,0.000812
32,12440.3,1.45357,0.7967,1.3148,0.88312,0.79969,0.89578,0.54852,1.38121,0.7441,1.37945,0.0007724,0.0007724,0.0007724
33,12829.8,1.46664,0.79346,1.30993,0.88892,0.79402,0.89471,0.53407,1.42117,0.73893,1.4062,0.0007328,0.0007328,0.0007328
34,13219,1.44503,0.78927,1.30167,0.90172,0.79856,0.89992,0.55412,1.37482,0.72338,1.38237,0.0006932,0.0006932,0.0006932
35,13609.4,1.44135,0.7863,1.30148,0.87484,0.78127,0.88466,0.54412,1.38,0.75821,1.38534,0.0006536,0.0006536,0.0006536
36,13997.5,1.42531,0.76994,1.28573,0.9028,0.79612,0.89976,0.55756,1.36641,0.72787,1.37548,0.000614,0.000614,0.000614
37,14389.9,1.42016,0.77521,1.28853,0.90463,0.79545,0.90108,0.55615,1.36907,0.71871,1.37605,0.0005744,0.0005744,0.0005744
38,14777.7,1.42701,0.76853,1.29829,0.89947,0.8169,0.90974,0.56012,1.36681,0.7246,1.37134,0.0005348,0.0005348,0.0005348
39,15166.7,1.41778,0.76004,1.29586,0.88887,0.81624,0.9072,0.55084,1.38636,0.73998,1.38699,0.0004952,0.0004952,0.0004952
40,15558.1,1.42142,0.76167,1.28354,0.90548,0.80557,0.90485,0.55875,1.36319,0.71041,1.37132,0.0004556,0.0004556,0.0004556
41,15936.3,1.39913,0.75907,1.33933,0.90164,0.81878,0.91224,0.56619,1.36417,0.7012,1.36854,0.000416,0.000416,0.000416
42,16314.5,1.38617,0.73231,1.3356,0.90047,0.82461,0.91709,0.56801,1.36002,0.69406,1.36208,0.0003764,0.0003764,0.0003764
43,16691.8,1.38242,0.73737,1.34552,0.90329,0.81926,0.91229,0.55528,1.39264,0.70773,1.3888,0.0003368,0.0003368,0.0003368
44,17071,1.37202,0.72532,1.33145,0.91038,0.82108,0.91696,0.57091,1.34559,0.69759,1.35875,0.0002972,0.0002972,0.0002972
45,17449.5,1.36793,0.71838,1.33225,0.90691,0.81089,0.91224,0.56826,1.34627,0.69474,1.35585,0.0002576,0.0002576,0.0002576
46,17829.1,1.36202,0.72119,1.31228,0.90632,0.82026,0.91681,0.57007,1.35846,0.68665,1.36618,0.000218,0.000218,0.000218
47,18207.7,1.35414,0.70556,1.31395,0.89914,0.82635,0.91806,0.57304,1.34803,0.68142,1.35643,0.0001784,0.0001784,0.0001784
48,18587.2,1.35613,0.70535,1.32586,0.89785,0.82915,0.91931,0.57446,1.34362,0.6804,1.35438,0.0001388,0.0001388,0.0001388
49,18966.7,1.34838,0.70405,1.31549,0.90189,0.82861,0.91808,0.5718,1.34792,0.68093,1.35947,9.92e-05,9.92e-05,9.92e-05
50,19345.9,1.35342,0.70068,1.31578,0.901,0.83182,0.92055,0.57777,1.3377,0.67669,1.35096,5.96e-05,5.96e-05,5.96e-05
